RARB;2.1.2.1.2
RARG;2.1.2.1.3
T3Ralpha;2.1.2.2.1
T3Rbeta;2.1.2.2.2
REVERBAalpha;2.1.2.3.1
REVERBAbeta;2.1.2.3.2
CAR;2.1.2.4.3
PXR;2.1.2.4.2
VDR;2.1.2.4.1
PPARalpha;2.1.2.5.1
PPARbeta;2.1.2.5.2
PPARgamma;2.1.2.5.3
RORalpha;2.1.2.6.1
RORABa;2.1.2.6.1
RORbeta;2.1.2.6.2
RORgamma;2.1.2.6.3
FXR;2.1.2.7.3
LXRalpha;2.1.2.7.1
LXRbeta;2.1.2.7.2
RXRalpha;2.1.3.1.1
RXRbeta;2.1.3.1.2
RXRgamma;2.1.3.1.3
HNF4alpha;2.1.3.2.1
HNF4gamma;2.1.3.2.2
PNR;2.1.3.3.2
TLX;2.1.3.3.1
TR2;2.1.3.4.1
TR4;2.1.3.4.2
COUPTF1;2.1.3.5.1
COUPTF2;2.1.3.5.2
NR2F1;2.1.3.5.1
NR2F2;2.1.3.5.2
NR2F6;2.1.3.5.3
NGFIB;2.1.4.0.1
NOR1;2.1.4.0.3
NURR1;2.1.4.0.2
NR5A1;2.1.5.0.1
FTZF1;2.1.5.0.1
NR5A2;2.1.5.0.2
LRH1;2.1.5.0.2
NR6A1;2.1.6.0.1
GCNF;2.1.6.0.1
NR0B1;2.1.7.0.1
NR0B2;2.1.7.0.2
GATA1;2.2.1.1.1
GATA2;2.2.1.1.2
GATA3;2.2.1.1.3
GATA4;2.2.1.1.4
GATA5;2.2.1.1.5
GATA6;2.2.1.1.6
ATRX;2.2.1.2.12
DNMT3A;2.2.1.2.9
DNMT3B;2.2.1.2.10
DNMT3L;2.2.1.2.11
GATAD1;2.2.1.2.1
GATAD2A;2.2.1.2.2
GATAD2B;2.2.1.2.3
MTA1;2.2.1.2.5
MTA2;2.2.1.2.6
MTA3;2.2.1.2.7
RERE;2.2.1.2.4
TRPS1;2.2.1.2.13
ZGLP1;2.2.1.2.8
Sp1;2.3.1.1.1
Sp2;2.3.1.1.2
Sp3;2.3.1.1.3
Sp4;2.3.1.1.4
Sp5;2.3.1.1.5
Sp6;2.3.1.1.6
Sp7;2.3.1.1.7
Sp8;2.3.1.1.8
Sp9;2.3.1.1.9
KLF10;2.3.1.2.10
KLF11;2.3.1.2.11
KLF12;2.3.1.2.12
KLF13;2.3.1.2.13
KLF14;2.3.1.2.14
KLF15;2.3.1.2.15
KLF16;2.3.1.2.16
KLF17;2.3.1.2.17
KLF1;2.3.1.2.1
KLF2;2.3.1.2.2
KLF3;2.3.1.2.3
KLF4;2.3.1.2.4
KLF5;2.3.1.2.5
KLF6;2.3.1.2.6
KLF7;2.3.1.2.7
KLF8;2.3.1.2.8
KLF9;2.3.1.2.9
EGR1;2.3.1.3.1
EGR2;2.3.1.3.2
EGR3;2.3.1.3.3
EGR4;2.3.1.3.4
ZBTB22;2.3.2.1.6
ZBTB32;2.3.2.1.7
ZBTB33;2.3.2.1.12
ZBTB34;2.3.2.1.8
ZBTB37;2.3.2.1.9
ZBTB43;2.3.2.1.10
ZBTB46;2.3.2.1.11
ZBTB5;2.3.2.1.1
ZBTB8B;2.3.2.1.2
ZNF487;2.3.2.2.1
ZNF542P;2.3.2.2.2
ZNF705A;2.3.2.2.3
ZNF174;2.3.2.3.2
ZNF396;2.3.2.3.3
ZNF446;2.3.2.3.4
ZSCAN1;2.3.2.3.1
